Name,APID,Element,StreamName,ShortDescription,LongDescription,PrimaryHeader,SecondaryHeader,Trailer,
beacon,1,beacon,myStream,"Beacon Packet","",,,,
des_hk,11,des,myStream,"DES Housekeeping Packet","",,,,
des_task,14,des,myStream,"DES Task Diag Packet","",,,,
des_sched,13,des,myStream,"DES Task Schedule Packet","",,,,
des_time,19,des,myStream,"DES Task Timing Packet","",,,,
mem_dump,6,mem,myStream,"Memory Dump Packet","",,,,
fp_hk,7,fp,myStream,"FP Housekeeping packet","",,,,
log_hk,,log,myStream,"Log Housekeeping Packet","",,,,
lib_hk,9,lib,myStream,"Library Housekeeping Packet","",,,,
tbl_hk,8,tbl,myStream,"Table Housekeeping Packet","",,,,
seq_hk,5,seq,myStream,"Sequence Housekeeping Packet","",,,,
tlm_hk,60,tlm,myStream,"Telemetry Task Housekeeping Packet","",,,,
cmd_hk,12,cmd,myStream,"Command Housekeeping Packet","",,,,
sband_hk,52,sband,myStream,"sband Housekeeping Packet","",,,,
sd_hk,42,sd,myStream,"SDCARD Housekeeping Packet","",,,,
uhf_hk,40,uhf,myStream,"UHF Housekeeping Packet","",,,,
uhf_pass,41,uhf,myStream,"UHF Pass Through Packet","",,,,
cip_hk,47,cip,myStream,"CIP Housekeeping Packet","",,,,
cip_msg_hk,51,cip,myStream,"CIP Message Engine Housekeeping Packet","",,,,
mode_hk,53,mode,myStream,"mode Housekeeping Packet","",,,,
daxss_msg_hk,46,daxss,myStream,"DAXSS Message Engine Housekeeping Packet","",,,,
daxss_hk,45,daxss,myStream,"DAXSS Housekeeping Packet","",,,,
ana_hk,2,ana,myStream,"Analog Housekeeping Packet","",,,,
adcs_msg_hk,44,adcs,myStream,"ADCS Message Engine Housekeeping Info","",,,,
adcs_hk,43,adcs,myStream,"ADCS Housekeeping Packet","",,,,
adcs_analogs,215,adcs,myStream,"ADCS Analogs Packet","",,,,
adcs_gps,218,adcs,myStream,"ADCS Gps Packet","",,,,
adcs_clock_sync,213,adcs,myStream,"ADCS Clock_sync Packet","",,,,
adcs_tracker,207,adcs,myStream,"ADCS Tracker Packet","",,,,
adcs_refs,203,adcs,myStream,"ADCS Refs Packet","",,,,
adcs_time,202,adcs,myStream,"ADCS Time Packet","",,,,
adcs_imu,212,adcs,myStream,"ADCS Imu Packet","",,,,
adcs_cal,219,adcs,myStream,"ADCS Cal Packet","",,,,
adcs_att_det,204,adcs,myStream,"ADCS Att_det Packet","",,,,
adcs_tracker_ctrl,220,adcs,myStream,"ADCS Tracker_ctrl Packet","",,,,
adcs_att_ctrl,208,adcs,myStream,"ADCS Att_ctrl Packet","",,,,
adcs_tables,216,adcs,myStream,"ADCS Tables Packet","",,,,
adcs_general,201,adcs,myStream,"ADCS General Packet","",,,,
adcs_att_cmd,205,adcs,myStream,"ADCS Att_cmd Packet","",,,,
adcs_tracker2,217,adcs,myStream,"ADCS Tracker2 Packet","",,,,
adcs_tlm_proc,214,adcs,myStream,"ADCS Tlm_proc Packet","",,,,
adcs_ext_tracker2,221,adcs,myStream,"ADCS Ext_tracker2 Packet","",,,,
adcs_rw_drive,206,adcs,myStream,"ADCS Rw_drive Packet","",,,,
adcs_momentum,209,adcs,myStream,"ADCS Momentum Packet","",,,,
adcs_css,210,adcs,myStream,"ADCS Css Packet","",,,,
adcs_mag,211,adcs,myStream,"ADCS Mag Packet","",,,,
adcs_command_tlm,200,adcs,myStream,"ADCS Command_tlm Packet","",,,,
cip_soh,50,cip,myStream,"","",,,,
cip_sci1,48,cip,myStream,"","",,,,
cip_sci2,49,cip,myStream,"","",,,,
daxss_log,176,daxss,myStream,"","",,,,
daxss_sci,178,daxss,myStream,"DAXSS Science Packet","",,,,
adcs_l0,54,adcs,myStream,"ADCS L0 Packet","",,,,
